,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Type ,Markets,Top Markets,Zone,Print-run,Publication,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
CSP,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sponsorship,Direct PO,1 - Total,All markets,South 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.6,3.1,7.1,7.5,12.1,0.8,2.0,5.0,4.7,2.1,4.3,4.2,5.5,6.6,9.9,9.5,8.3
Airport,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,1.8,1.8,1.5,1.9,2.0,1.4,1.9,1.7,1.6,1.6,1.5,1.6,1.0,1.0,1.0,1.0,1.0
Airlines ,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Railways ,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,2.2,2.2,1.7,1.7,1.6,1.6,1.7,1.6,1.6,2.0,2.0,1.9,3.4,1.8,2.5,2.1,2.3,2.3,2.4,2.4,2.7,2.7,2.8,2.8,2.8
Metro Railways,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roadways & Travel,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Hotel,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.9,0.9,0.8,1.0,1.0,1.0,0.9,0.7,0.7,0.8,1.0,1.0,1.3,0.8,1.0,0.8,1.0,0.9,1.1,1.0,1.1,1.1,1.1,1.0,1.0
Hospital,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.6,0.8,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.6,0.6,0.4
Offices & Banks,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.2,0.2,0.5,0.1,0.5,0.4,0.3,0.5,0.7,0.7,0.6,0.7,0.7,0.5,0.9,0.6,0.9,0.9,0.8,0.8,0.8,0.8,0.9,1.1,0.9
Saloon & Spa,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI IC,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.2,0.2,0.1,0.2,0.4,0.4,0.7,0.3,0.9,1.1,1.7,2.0,1.7,1.6,1.3,1.0,1.2,1.1,1.0,1.4,2.1,2.2,2.1,1.8,1.7
ET IC,Direct PO,Kolkata,Top 8 Markets,East,TOIKolkata City,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
