,,,,,,,,,,,,,,,,,,Chain name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,,,,,,,,Hotel,,,,,,,,,,Hospitals,,,,,,,,,,Railways,,,,,,,,Roadways,,,,,,,,Offices & Banks,,,,,,,,CCD,,,,,,,,Chaayos,,,,,,,,Campus TOIC,,,,,,,,Campus ETIC,,
Zone,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Dec 25 PO,,Cat,,,,,,,,Zone,City name, TOI , ET , NBT , MT ,TOTAL,,,,Zone,Train type, TOI , ET , NBT , MT ,TOTAL,,Zone,City name,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,TOI,ET,NBT,MT,TOTAL,,State,City,Sum of # TOI,Sum of # ET,Sum of # NBT,Sum of # MT,TOTAL,,Region,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,PO,,,,,,Zone,City name,PO
,,,,,,,,West 2,Rajkot,,,, 58 , 58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Coimbatore,,,,,,,West-2,NIGDI,
,,,,,,,,West 2,Surat,,,, 105 , 105 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Erode,,,,,,,West-2,SOMATANE PHATA,
,,,,,,,,West 2,Vadodara,,,, 233 , 233 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Hydearbad,,,,,,,West-2,Surat, 18 
,,,,,,,,Grand Total,," 1,747 "," 3,129 "," 1,431 "," 6,077 "," 12,384 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Madurai,,,,,,,Grand Total,," 5,486 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Pondichery,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Trichy,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South 2,Vellore,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Aurangabad,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Burhanpur," 1,483 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Canacona, 38 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Indore, 380 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Mumbai," 6,183 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Nashik,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Panjim, -   ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Ponda, -   ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West 1,Ratlam, -   ,,,,,,,,
